Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,228746;0,485490;0,168082;4,330000;4950,617541;-425894716,485905;0,008033;0,025000;0,432600;0,112088;0,055994;0,919580;0,694354;0,065072;0,033333;0,006821;0,005025;250,049049
2;-0,097781;0,075350;0,088203;4,330000;6971,814108;-277651938,443501;0,006864;0,025000;0,874835;0,081037;0,007165;0,788732;0,237605;0,055630;0,020033;0,006369;0,007509;1005,552667
3;-0,209783;0,332260;0,152477;4,330000;5543,727867;-346881201,394499;0,003765;0,025000;0,540869;0,098686;0,053792;0,874126;0,604697;0,063716;0,025042;0,011364;0,007509;446,050690
4;-0,133354;0,107190;0,120789;4,330000;6702,623852;-311508593,699618;0,006667;0,025000;0,721608;0,094385;0,026404;0,828070;0,436281;0,057322;0,020101;0,007276;0,003750;861,847768
5;-0,156103;0,139210;0,125038;4,330000;6576,353144;-312490951,918957;0,008565;0,025000;0,695277;0,096206;0,028832;0,839286;0,446906;0,062598;0,028381;0,004545;0,010025;799,179274
6;-0,221937;0,406040;0,169933;4,330000;5229,562415;-375592038,483400;0,004434;0,025000;0,487122;0,115680;0,054253;0,924460;0,726628;0,060599;0,028381;0,003638;0,002503;343,897135
7;-0,225137;0,481090;0,151432;4,330000;4961,271389;-422728671,913359;0,020573;0,025000;0,437503;0,097176;0,054257;0,870629;0,616634;0,059100;0,030100;0,007283;0,000000;246,308898
8;-0,185580;0,218040;0,131992;4,330000;6188,052103;-321756052,547991;0,006769;0,025000;0,628010;0,091332;0,040659;0,825000;0,511990;0,055928;0,038462;0,004095;0,002506;658,024633
9;-0,216398;0,376850;0,158693;4,330000;5354,771442;-366054575,364020;0,003960;0,025000;0,508806;0,105795;0,052898;0,899642;0,648438;0,065713;0,016694;0,006821;0,003750;384,961235
10;-0,221159;0,411810;0,164962;4,330000;5206,670703;-382600215,267596;0,009494;0,025000;0,483510;0,107848;0,057114;0,901408;0,695226;0,061969;0,030100;0,006824;0,000000;331,299904
11;-0,193012;0,243690;0,139589;4,330000;6048,486413;-329969572,024640;0,005407;0,025000;0,609914;0,097682;0,041907;0,869258;0,557516;0,055469;0,023411;0,005460;0,007509;611,565604
12;-0,207316;0,313040;0,147837;4,330000;5625,153869;-344796581,205532;0,009185;0,025000;0,553641;0,099402;0,048434;0,900709;0,579909;0,063706;0,028428;0,005455;0,003759;467,605708
13;-0,214382;0,370950;0,152577;4,330000;5379,344952;-370955557,389826;0,013315;0,025000;0,512821;0,098208;0,054369;0,874564;0,608497;0,064848;0,035294;0,004554;0,005019;387,212413
14;-0,228219;0,506100;0,160745;4,330000;4879,056482;-437170154,050638;0,005703;0,025000;0,418544;0,100213;0,060532;0,916376;0,651299;0,064111;0,043551;0,003641;0,002509;226,546021
15;-0,228391;0,478510;0,170448;4,330000;4968,684098;-419848002,949723;0,011457;0,025000;0,436077;0,112619;0,057829;0,902778;0,712794;0,066293;0,028523;0,008186;0,000000;252,625249
16;-0,217925;0,376050;0,167071;4,330000;5358,149122;-360583791,267120;0,009926;0,025000;0,508816;0,112257;0,054814;0,892857;0,707301;0,062291;0,030000;0,007279;0,005019;386,380871
17;-0,214316;0,371770;0,152647;4,330000;5376,238412;-371763760,336152;0,004791;0,025000;0,513320;0,097682;0,054965;0,860714;0,623368;0,061913;0,030100;0,006375;0,003755;387,784728
18;-0,226584;0,469730;0,165149;4,330000;5002,945178;-417367482,375695;0,003278;0,025000;0,443986;0,108784;0,056365;0,944056;0,699674;0,053763;0,043478;0,008182;0,005006;269,547860
19;-0,223612;0,424980;0,169413;4,330000;5157,049448;-389362697,588964;0,005311;0,025000;0,473424;0,114829;0,054584;0,896057;0,713454;0,064372;0,031667;0,006378;0,002503;318,112979
20;-0,229046;0,480030;0,171030;4,330000;4970,345750;-418854233,906687;0,005211;0,025000;0,435101;0,117154;0,053876;0,887719;0,732899;0,062793;0,031720;0,005909;0,001252;258,569121
21;-0,106893;0,081100;0,094599;4,330000;6929,122044;-280338763,614579;0,005983;0,025000;0,855568;0,087733;0,006865;0,832740;0,247429;0,063059;0,028428;0,006821;0,005006;984,358645
22;-0,219498;0,408310;0,158092;4,330000;5215,276702;-383814421,249839;0,007338;0,025000;0,487617;0,101479;0,056613;0,857143;0,664932;0,057572;0,038462;0,007283;0,003759;332,365892
23;-0,225112;0,441980;0,170105;4,330000;5094,597703;-399742381,264554;0,005982;0,025000;0,461601;0,113774;0,056331;0,891986;0,731518;0,058481;0,030050;0,006364;0,006274;298,504055
24;-0,226753;0,486620;0,160113;4,330000;4945,257574;-419265901,462246;0,006039;0,025000;0,433680;0,100475;0,059638;0,908772;0,665365;0,059388;0,036728;0,006831;0,000000;244,740303
25;-0,184883;0,208370;0,135376;4,330000;6225,886677;-322725116,206781;0,005810;0,025000;0,634174;0,098574;0,036801;0,885305;0,510045;0,061494;0,026711;0,004545;0,005013;677,638912
26;-0,116769;0,084920;0,101911;4,330000;6810,784357;-299354409,351824;0,007864;0,025000;0,775730;0,086240;0,015671;0,834532;0,297558;0,062668;0,033670;0,005011;0,002500;907,923908
27;-0,190052;0,219770;0,143378;4,330000;6164,458464;-322942510,740738;0,007473;0,025000;0,626337;0,107457;0,035920;0,830325;0,583819;0,055742;0,020101;0,008644;0,006258;654,978694
28;-0,233560;0,590860;0,172797;4,330000;4752,984414;-512317739,931378;0,016191;0,025000;0,348526;0,117522;0,055275;0,870307;0,731218;0,065742;0,033613;0,005472;0,000000;173,968828
29;-0,179301;0,178760;0,140660;4,330000;6364,726758;-316564942,963890;0,008765;0,025000;0,655635;0,104533;0,036126;0,871429;0,531596;0,065996;0,031720;0,004091;0,008772;725,596932
