Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,117493;0,103890;0,169752;5,034696;7056,701768;1268814015,911805;0,003924;0,179310;2,502420;0,062013;0,107739;0,903915;0,477593;0,142825;0,038333;0,006827;0,006258;1750,000000
2;0,073847;0,132800;0,237609;5,001115;6851,107770;2836954357,656093;0,003123;0,113515;1,862058;0,067773;0,169836;0,877622;0,727331;0,204270;0,046823;0,008640;0,013784;1750,000000
3;0,133802;0,093950;0,158314;5,051785;7136,303359;432834390,943320;0,004000;0,203523;2,829452;0,055965;0,102350;0,870175;0,436306;0,133199;0,031773;0,007731;0,007519;1750,000000
4;0,120075;0,102270;0,174387;5,039153;7062,881661;936883741,864774;0,002540;0,182654;2,600141;0,058634;0,115753;0,852632;0,482495;0,154692;0,026711;0,007727;0,006250;1750,000000
5;0,082093;0,126590;0,225311;5,006192;6888,941126;2631237445,468043;0,002002;0,125639;1,955158;0,065905;0,159406;0,862191;0,671795;0,201796;0,030100;0,005912;0,008772;1750,000000
6;0,092520;0,119580;0,209053;5,016450;6938,081342;2183285365,307333;0,001534;0,141801;2,120542;0,066081;0,142973;0,896797;0,611644;0,183124;0,036789;0,006367;0,011250;1750,000000
7;0,097984;0,116770;0,206768;5,019570;6955,438584;1911152414,619055;0,002291;0,149465;2,224028;0,060505;0,146263;0,857651;0,584556;0,190433;0,035000;0,006367;0,008750;1750,000000
8;0,085896;0,124390;0,214929;5,013035;6905,874935;2386050618,094563;0,003006;0,131668;2,045710;0,068979;0,145949;0,837545;0,626989;0,191054;0,050590;0,008186;0,012531;1750,000000
9;0,122842;0,100630;0,165842;5,042592;7082,184260;976113546,166452;0,003196;0,187288;2,618539;0,061307;0,104535;0,893617;0,455243;0,142473;0,023333;0,009095;0,011264;1750,000000
10;0,042802;0,154500;0,285368;4,983384;6729,988239;3583802992,847009;0,001537;0,067534;1,560704;0,077405;0,207963;0,913669;0,826923;0,276272;0,045151;0,005457;0,010025;1750,000000
11;0,138102;0,091370;0,147549;5,050887;7159,154051;508755526,902871;0,004228;0,209884;2,837295;0,054775;0,092774;0,831579;0,393380;0,128032;0,030354;0,006375;0,003759;1750,000000
12;0,113934;0,105910;0,174573;5,032489;7038,048796;1402143800,435551;0,002516;0,173710;2,450480;0,062709;0,111864;0,880435;0,501599;0,148630;0,023451;0,006372;0,011250;1750,000000
13;0,043370;0,153880;0,274081;4,984965;6732,626598;3561207614,165079;0,001943;0,068259;1,568427;0,082245;0,191836;0,905797;0,815891;0,255950;0,052013;0,008186;0,005000;1750,000000
14;0,084474;0,125490;0,217048;5,009332;6897,726918;2503105804,109582;0,001985;0,129533;2,012872;0,067929;0,149119;0,905109;0,645927;0,190701;0,028523;0,008644;0,005006;1750,000000
