Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,244786;0,799360;0,132046;4,330000;4666,000000;-1768091567,301682;0,402267;0,025000;0,300000;0,097975;0,034071;0,913669;0,602504;0,089209;0,029795;0,000000;0,000000;0,000000
2;-0,245527;0,800450;0,141017;4,330000;4666,000000;-1808152661,300295;0,413498;0,025000;0,300000;0,099807;0,041211;0,929329;0,629860;0,099479;0,031716;0,000000;0,000000;0,000000
3;-0,246917;0,816780;0,134602;4,330000;4666,000000;-1680664401,700762;0,408494;0,025000;0,300000;0,105031;0,029572;0,904255;0,604938;0,099604;0,035928;0,000000;0,000000;0,000000
4;-0,246881;0,817330;0,131411;4,330000;4666,000000;-1631969348,643447;0,394539;0,025000;0,300000;0,106269;0,025142;0,890845;0,572222;0,108895;0,038760;0,000000;0,000000;0,000000
5;-0,248213;0,812720;0,141260;4,330000;4666,000000;-1674149844,689511;0,387128;0,025000;0,300000;0,113304;0,027956;0,921708;0,608919;0,110306;0,062136;0,000000;0,000000;0,000000
6;-0,249347;0,816770;0,145602;4,330000;4666,000000;-1703722030,778855;0,401012;0,025000;0,300000;0,116448;0,029154;0,892086;0,614983;0,133257;0,055344;0,000000;0,000000;0,000000
7;-0,247976;0,823490;0,132561;4,330000;4666,000000;-1613701404,209004;0,388286;0,025000;0,300000;0,109920;0,022641;0,909420;0,598778;0,113088;0,046816;0,000000;0,000000;0,000000
8;-0,246270;0,803400;0,138235;4,330000;4666,000000;-1778524105,439836;0,408093;0,025000;0,300000;0,104597;0,033638;0,895307;0,614439;0,100573;0,041746;0,000000;0,000000;0,000000
9;-0,250028;0,820800;0,143786;4,330000;4666,000000;-1639615872,228145;0,402401;0,025000;0,300000;0,118966;0,024820;0,923345;0,635496;0,125426;0,040777;0,000000;0,000000;0,000000
10;-0,247573;0,809980;0,143897;4,330000;4666,000000;-1719835487,239709;0,401904;0,025000;0,300000;0,108005;0,035891;0,898917;0,628059;0,119411;0,033010;0,000000;0,000000;0,000000
11;-0,245354;0,811640;0,128984;4,330000;4666,000000;-1720774829,134707;0,414159;0,025000;0,300000;0,098927;0,030058;0,881295;0,585895;0,105573;0,027881;0,000000;0,000000;0,000000
12;-0,244928;0,800410;0,138140;4,330000;4666,000000;-1775504781,101881;0,414030;0,025000;0,300000;0,097623;0,040517;0,906810;0,648062;0,091753;0,031022;0,000000;0,000000;0,000000
13;-0,246867;0,796380;0,152958;4,330000;4666,000000;-1809803580,830059;0,405060;0,025000;0,300000;0,104872;0,048086;0,917563;0,676218;0,112532;0,035581;0,000000;0,000000;0,000000
14;-0,247810;0,807320;0,146179;4,330000;4666,000000;-1747688335,680440;0,391172;0,025000;0,300000;0,110894;0,035285;0,908451;0,656923;0,104043;0,039773;0,000000;0,000000;0,000000
15;-0,248809;0,805800;0,150956;4,330000;4666,000000;-1759292326,103076;0,396971;0,025000;0,300000;0,114836;0,036119;0,928315;0,630015;0,117615;0,056604;0,000000;0,000000;0,000000
16;-0,248511;0,792420;0,165112;4,330000;4666,000000;-1824170312,719811;0,384708;0,025000;0,300000;0,113184;0,051928;0,934783;0,701434;0,121988;0,042279;0,000000;0,000000;0,000000
17;-0,246219;0,794680;0,149310;4,330000;4666,000000;-1827569326,969142;0,401653;0,025000;0,300000;0,103199;0,046110;0,917857;0,647230;0,113356;0,039179;0,000000;0,000000;0,000000
18;-0,250179;0,798570;0,165109;4,330000;4666,000000;-1809145617,590678;0,395113;0,025000;0,300000;0,119791;0,045318;0,898955;0,686992;0,132808;0,044199;0,000000;0,000000;0,000000
19;-0,250769;0,813540;0,150788;4,330000;4666,000000;-1701548549,323404;0,384156;0,025000;0,300000;0,124836;0,025953;0,927835;0,617792;0,135106;0,045113;0,000000;0,000000;0,000000
