Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,462850;0,088550;0,136712;5,646847;8642,602253;-4786650751,501823;0,003416;0,250000;16,265127;0,065686;0,071026;0,815700;0,320203;0,129314;0,030050;0,005460;0,008750;4000,000000
2;0,461909;0,089080;0,135956;5,644665;8633,266833;-4454441087,865695;0,002222;0,250000;16,126361;0,066062;0,069894;0,807829;0,310759;0,132452;0,035235;0,006369;0,005013;4000,000000
3;0,462688;0,089750;0,135102;5,652376;8630,410754;-5444099868,656296;0,002223;0,250000;16,720083;0,067703;0,067400;0,786713;0,314286;0,129517;0,041876;0,005912;0,005006;4000,000000
4;0,484093;0,080970;0,119237;5,675543;8740,715002;-7906017880,732297;0,002930;0,250000;18,555044;0,061132;0,058106;0,769504;0,255387;0,117541;0,033557;0,005909;0,006258;4000,000000
5;0,441559;0,097350;0,146113;5,623706;8552,442036;-2141522826,883193;0,002979;0,250000;14,410245;0,077039;0,069073;0,853147;0,339059;0,141192;0,051839;0,003638;0,003750;4000,000000
6;0,482408;0,080880;0,121032;5,674177;8729,663232;-8211928420,168564;0,002188;0,250000;18,600529;0,061776;0,059256;0,789286;0,280735;0,109172;0,033557;0,008636;0,012516;4000,000000
7;0,470508;0,086500;0,132715;5,658853;8668,973269;-6201800622,806090;0,005689;0,250000;17,264818;0,062424;0,070290;0,805654;0,317089;0,121076;0,045151;0,006375;0,007509;4000,000000
8;0,499229;0,073740;0,112924;5,690366;8814,010336;-10117377148,276133;0,002949;0,250000;20,072260;0,053591;0,059333;0,739437;0,268817;0,102082;0,020101;0,004095;0,011250;4000,000000
9;0,490630;0,078170;0,115032;5,685494;8766,032785;-9732961698,974607;0,002836;0,250000;19,670328;0,059784;0,055248;0,772727;0,259518;0,106502;0,026711;0,005912;0,008761;4000,000000
10;0,453634;0,093130;0,138011;5,638631;8594,277077;-3722726459,044607;0,004138;0,250000;15,544708;0,071479;0,066532;0,807143;0,312856;0,134037;0,036851;0,008186;0,012563;4000,000000
11;0,479813;0,082040;0,129081;5,666916;8717,246502;-7059496114,178408;0,003873;0,250000;17,936518;0,057638;0,071443;0,751748;0,306717;0,121837;0,023451;0,005914;0,013750;4000,000000
12;0,485001;0,081150;0,118497;5,677929;8734,839154;-8322659148,922931;0,006376;0,250000;18,916862;0,059703;0,058794;0,770370;0,268790;0,113550;0,031933;0,004093;0,010000;4000,000000
13;0,478716;0,082670;0,124509;5,669846;8711,180887;-7681060370,827961;0,003656;0,250000;18,215124;0,062607;0,061901;0,780919;0,299492;0,112679;0,031826;0,005909;0,008761;4000,000000
14;0,465851;0,088120;0,134140;5,653501;8647,786631;-5386834904,985050;0,002723;0,250000;16,757264;0,065255;0,068886;0,799296;0,309796;0,126511;0,033501;0,010469;0,010013;4000,000000
15;0,474282;0,084810;0,130606;5,665296;8685,581177;-7025711817,115643;0,004651;0,250000;17,754466;0,061977;0,068628;0,842657;0,298034;0,118898;0,040201;0,005457;0,022556;4000,000000
16;0,496937;0,076110;0,112343;5,696442;8801,909283;-11225836863,000055;0,003905;0,250000;20,622802;0,059244;0,053098;0,742958;0,277813;0,095217;0,023529;0,009091;0,008761;4000,000000
17;0,497574;0,075640;0,110158;5,692665;8804,589756;-10281846417,667019;0,004798;0,250000;20,170299;0,056895;0,053263;0,798587;0,236041;0,100919;0,025210;0,010000;0,008750;4000,000000
18;0,498888;0,074310;0,112309;5,692464;8816,751229;-10367219675,403238;0,002792;0,250000;20,195661;0,055701;0,056608;0,757895;0,254580;0,101634;0,031933;0,006824;0,010000;4000,000000
19;0,510515;0,070820;0,104796;5,709996;8872,513933;-12989438643,361649;0,003179;0,250000;22,046349;0,053204;0,051592;0,776224;0,230184;0,094289;0,020067;0,007273;0,007519;4000,000000
20;0,451342;0,093710;0,140609;5,635115;8589,861227;-3338473554,801039;0,003771;0,250000;15,229112;0,072120;0,068489;0,807018;0,328889;0,133857;0,031879;0,010009;0,010000;4000,000000
21;0,474629;0,083340;0,122490;5,659336;8699,292422;-5922987152,706195;0,004290;0,250000;17,178835;0,063868;0,058622;0,754448;0,255387;0,123822;0,043478;0,006827;0,007509;4000,000000
22;0,507508;0,071470;0,106647;5,706126;8858,733413;-12320980706,286892;0,003892;0,250000;21,525616;0,053978;0,052669;0,804196;0,223634;0,096825;0,025000;0,008189;0,013750;4000,000000
23;0,481401;0,080970;0,121875;5,671447;8728,693545;-7523832988,351004;0,004532;0,250000;18,216131;0,061895;0,059980;0,747331;0,287985;0,111608;0,038462;0,005462;0,015000;4000,000000
24;0,507519;0,071720;0,104070;5,708814;8861,468749;-12808943213,978172;0,003648;0,250000;21,809072;0,056921;0,047149;0,775439;0,244134;0,088347;0,015075;0,006831;0,010000;4000,000000
25;0,474856;0,083140;0,129243;5,659658;8693,669178;-6300663204,680412;0,001854;0,250000;17,319879;0,060542;0,068702;0,775862;0,308917;0,117700;0,040067;0,008182;0,006258;4000,000000
26;0,472812;0,084460;0,128427;5,658133;8685,403484;-6075344543,107297;0,002944;0,250000;17,214864;0,062601;0,065827;0,804270;0,301648;0,118781;0,028381;0,008182;0,008750;4000,000000
27;0,479257;0,082420;0,121331;5,670130;8710,590195;-7722409718,308927;0,002779;0,250000;18,277465;0,062834;0,058497;0,851064;0,256167;0,115177;0,033333;0,009095;0,006258;4000,000000
28;0,468155;0,087060;0,130286;5,654416;8658,717119;-5627595703,642118;0,003144;0,250000;16,889754;0,064991;0,065294;0,785965;0,315252;0,120072;0,026801;0,006827;0,007509;4000,000000
29;0,471475;0,084800;0,126954;5,657317;8685,467358;-5740672039,506682;0,002925;0,250000;16,978186;0,064939;0,062015;0,824561;0,270424;0,126682;0,026801;0,004548;0,007528;4000,000000
30;0,477024;0,082480;0,125983;5,658196;8705,830436;-5964622425,602588;0,002910;0,250000;17,298540;0,058402;0,067581;0,820513;0,294230;0,117502;0,038526;0,004548;0,003750;4000,000000
