Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,246886;0,806470;0,139415;4,330000;4666,000000;-1723764902,094482;0,400236;0,025000;0,300000;0,106421;0,032994;0,930314;0,623639;0,091339;0,036832;0,000000;0,000000;0,000000
2;-0,247381;0,807590;0,143021;4,330000;4666,000000;-1738739915,011747;0,393697;0,025000;0,300000;0,109023;0,033998;0,913495;0,654341;0,099399;0,041045;0,000000;0,000000;0,000000
3;-0,248007;0,812830;0,138921;4,330000;4666,000000;-1709706701,942418;0,403848;0,025000;0,300000;0,111203;0,027718;0,896429;0,604278;0,121179;0,046642;0,000000;0,000000;0,000000
4;-0,250461;0,824220;0,142017;4,330000;4666,000000;-1606053462,502773;0,402261;0,025000;0,300000;0,120394;0,021623;0,914089;0,600783;0,125428;0,057026;0,000000;0,000000;0,000000
5;-0,246050;0,818180;0,125759;4,330000;4666,000000;-1651007075,586120;0,379709;0,025000;0,300000;0,104518;0,021241;0,911972;0,557915;0,100380;0,025641;0,000000;0,000000;0,000000
6;-0,246725;0,810590;0,136587;4,330000;4666,000000;-1699907949,065389;0,387387;0,025000;0,300000;0,106780;0,029807;0,895683;0,605000;0,108051;0,033898;0,000000;0,000000;0,000000
7;-0,250519;0,809110;0,155083;4,330000;4666,000000;-1716177287,355263;0,395254;0,025000;0,300000;0,122118;0,032965;0,936396;0,654147;0,129863;0,047893;0,000000;0,000000;0,000000
8;-0,247920;0,808320;0,149091;4,330000;4666,000000;-1784185331,636348;0,402080;0,025000;0,300000;0,110083;0,039008;0,926056;0,656250;0,110604;0,046816;0,000000;0,000000;0,000000
9;-0,247367;0,802830;0,153771;4,330000;4666,000000;-1806910925,083073;0,411188;0,025000;0,300000;0,106105;0,047666;0,921147;0,698166;0,095898;0,044199;0,000000;0,000000;0,000000
10;-0,247668;0,808250;0,141977;4,330000;4666,000000;-1714139386,896689;0,381767;0,025000;0,300000;0,111669;0,030308;0,921429;0,624611;0,105699;0,024952;0,000000;0,000000;0,000000
11;-0,246849;0,815190;0,131444;4,330000;4666,000000;-1640130215,166620;0,383616;0,025000;0,300000;0,107409;0,024034;0,930070;0,595104;0,095657;0,050682;0,000000;0,000000;0,000000
12;-0,247397;0,805980;0,143720;4,330000;4666,000000;-1783276699,909231;0,425685;0,025000;0,300000;0,107137;0,036583;0,921708;0,642857;0,095745;0,065336;0,000000;0,000000;0,000000
13;-0,243651;0,789760;0,147626;4,330000;4666,000000;-1859088158,681827;0,432965;0,025000;0,300000;0,087447;0,060179;0,942029;0,661699;0,111665;0,025830;0,000000;0,000000;0,000000
14;-0,248571;0,818800;0,137026;4,330000;4666,000000;-1684092259,971461;0,382681;0,025000;0,300000;0,115176;0,021850;0,927083;0,642987;0,096230;0,034951;0,000000;0,000000;0,000000
15;-0,244578;0,798710;0,141284;4,330000;4666,000000;-1790974797,939272;0,408010;0,025000;0,300000;0,095785;0,045498;0,932143;0,653727;0,100875;0,013084;0,000000;0,000000;0,000000
16;-0,246849;0,799890;0,149880;4,330000;4666,000000;-1790910501,494601;0,405415;0,025000;0,300000;0,105382;0,044498;0,902098;0,670029;0,101171;0,037313;0,000000;0,000000;0,000000
17;-0,243668;0,775980;0,160999;4,330000;4672,148972;-1926865692,401631;0,426132;0,025000;0,300000;0,087722;0,073277;0,884892;0,687419;0,131394;0,025135;0,000000;0,000000;12,297944
18;-0,246882;0,810520;0,139110;4,330000;4666,000000;-1741659862,664276;0,416568;0,025000;0,300000;0,104748;0,034363;0,886926;0,664384;0,097044;0,046296;0,000000;0,000000;0,000000
19;-0,246288;0,792630;0,155618;4,330000;4666,000000;-1831903542,861829;0,405650;0,025000;0,300000;0,101551;0,054067;0,904930;0,680000;0,111735;0,043716;0,000000;0,000000;0,000000
20;-0,247457;0,813260;0,136107;4,330000;4666,000000;-1673050656,587208;0,402702;0,025000;0,300000;0,109085;0,027023;0,935943;0,576923;0,110589;0,058935;0,000000;0,000000;0,000000
21;-0,249033;0,817480;0,139037;4,330000;4666,000000;-1644857536,158163;0,393353;0,025000;0,300000;0,115642;0,023396;0,891304;0,626186;0,121550;0,052427;0,000000;0,000000;0,000000
22;-0,246805;0,813220;0,131897;4,330000;4666,000000;-1680298762,770101;0,400382;0,025000;0,300000;0,108202;0,023695;0,915493;0,626437;0,100423;0,036122;0,000000;0,000000;0,000000
23;-0,249940;0,819390;0,143484;4,330000;4666,000000;-1636776728,897860;0,382208;0,025000;0,300000;0,120527;0,022957;0,926056;0,610140;0,117680;0,057199;0,000000;0,000000;0,000000
24;-0,247707;0,812880;0,138760;4,330000;4666,000000;-1705350343,264567;0,390287;0,025000;0,300000;0,110411;0,028349;0,903571;0,605960;0,105263;0,046065;0,000000;0,000000;0,000000
25;-0,246031;0,815420;0,129054;4,330000;4666,000000;-1678177807,492831;0,389583;0,025000;0,300000;0,102641;0,026413;0,903571;0,616105;0,092911;0,032319;0,000000;0,000000;0,000000
26;-0,249266;0,812190;0,148905;4,330000;4666,000000;-1715793575,860832;0,380120;0,025000;0,300000;0,117444;0,031461;0,932862;0,674884;0,099555;0,043478;0,000000;0,000000;0,000000
27;-0,248729;0,795680;0,166138;4,330000;4666,000000;-1836169952,950253;0,398995;0,025000;0,300000;0,112080;0,054058;0,933333;0,691601;0,121912;0,051756;0,000000;0,000000;0,000000
28;-0,247517;0,809110;0,140446;4,330000;4666,000000;-1727918522,548249;0,394954;0,025000;0,300000;0,109800;0,030646;0,923358;0,647910;0,097051;0,037879;0,000000;0,000000;0,000000
29;-0,247562;0,814810;0,134468;4,330000;4666,000000;-1678758869,047723;0,391800;0,025000;0,300000;0,110277;0,024191;0,891608;0,583630;0,104526;0,055238;0,000000;0,000000;0,000000
30;-0,246946;0,806880;0,142181;4,330000;4666,000000;-1749777478,326688;0,414557;0,025000;0,300000;0,104962;0,037218;0,935714;0,660800;0,095213;0,032319;0,000000;0,000000;0,000000
