Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,422027;0,076100;0,111492;5,560886;8465,345352;-4088209939,713989;0,002866;0,250000;13,292988;0,059173;0,052319;0,817204;0,242866;0,103024;0,036667;0,004093;0,005000;3500,000000
2;0,399017;0,085780;0,131210;5,532520;8353,571123;-1432227193,322531;0,004604;0,250000;11,559747;0,064396;0,066814;0,801418;0,312421;0,123321;0,023451;0,005914;0,006250;3500,000000
3;0,411068;0,080970;0,123840;5,545000;8401,569508;-2851697070,639504;0,003839;0,250000;12,475624;0,057886;0,065954;0,818182;0,282540;0,112657;0,040000;0,005909;0,012516;3500,000000
4;0,404015;0,082930;0,121585;5,538363;8382,873224;-1828595824,934896;0,004398;0,250000;11,810697;0,066237;0,055348;0,811847;0,257143;0,118135;0,028428;0,009099;0,005000;3500,000000
5;0,395129;0,087300;0,135819;5,525053;8333,546735;-890870570,531631;0,003284;0,250000;11,234640;0,063174;0,072645;0,802158;0,331226;0,125531;0,023451;0,008636;0,008761;3500,000000
6;0,402098;0,084430;0,125454;5,535874;8367,652906;-1693463541,910286;0,003854;0,250000;11,747940;0,065147;0,060307;0,767857;0,285262;0,120655;0,030000;0,008189;0,005013;3500,000000
7;0,416074;0,079760;0,118098;5,553119;8424,890166;-3336486083,949224;0,004399;0,250000;12,867215;0,057838;0,060260;0,828571;0,275142;0,102944;0,030100;0,010459;0,005000;3500,000000
8;0,432764;0,072500;0,107121;5,573317;8508,120266;-5183757050,975523;0,007156;0,250000;14,093365;0,052653;0,054468;0,812721;0,234365;0,093582;0,035058;0,006381;0,011264;3500,000000
9;0,381382;0,092390;0,141720;5,507278;8273,141655;604431782,680287;0,001964;0,250000;10,300139;0,069549;0,072170;0,832143;0,324444;0,136526;0,050083;0,009091;0,002503;3500,000000
10;0,411542;0,080130;0,121639;5,547246;8415,829760;-2858649325,060120;0,002326;0,250000;12,458880;0,060820;0,060820;0,822300;0,274858;0,113921;0,028333;0,004095;0,003755;3500,000000
11;0,377240;0,094340;0,149144;5,502773;8256,202674;830971054,052843;0,001590;0,250000;10,097065;0,069285;0,079859;0,858131;0,336715;0,144457;0,045075;0,009091;0,012500;3500,000000
12;0,390367;0,088400;0,135429;5,517345;8320,432146;-282857027,673870;0,001563;0,250000;10,817005;0,066909;0,068521;0,866667;0,302340;0,129509;0,036789;0,007734;0,002503;3500,000000
13;0,410200;0,080420;0,118507;5,542638;8405,974423;-2296391057,042912;0,004412;0,250000;12,158837;0,061422;0,057085;0,812721;0,254291;0,112380;0,028620;0,009554;0,006250;3500,000000
14;0,401208;0,084100;0,128200;5,532875;8360,595501;-1535687501,840320;0,003027;0,250000;11,647316;0,062689;0,065511;0,807143;0,292327;0,122202;0,025042;0,006367;0,012516;3500,000000
