Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,232709;0,722550;0,107961;4,330000;4666,000000;-4708486516,970462;0,305566;0,025000;0,300000;0,065370;0,042591;0,742958;0,337456;0,085355;0,031414;0,000000;0,000000;0,000000
2;-0,234208;0,726790;0,111645;4,330000;4666,000000;-4666747955,072099;0,315810;0,025000;0,300000;0,071789;0,039856;0,709220;0,337220;0,095835;0,043328;0,000000;0,000000;0,000000
3;-0,235779;0,729630;0,117374;4,330000;4666,000000;-4594974260,443204;0,302058;0,025000;0,300000;0,078170;0,039204;0,681818;0,368696;0,096005;0,057143;0,000000;0,000000;0,000000
4;-0,234400;0,714150;0,123769;4,330000;4666,000000;-4811429495,385650;0,304570;0,025000;0,300000;0,072316;0,051453;0,741007;0,378583;0,106761;0,038664;0,000000;0,000000;0,000000
5;-0,234580;0,714910;0,123873;4,330000;4666,000000;-4821754045,304996;0,290055;0,025000;0,300000;0,073879;0,049994;0,721254;0,378877;0,104402;0,050173;0,000000;0,000000;0,000000
6;-0,234727;0,710060;0,130445;4,330000;4666,000000;-4838311615,863259;0,262874;0,025000;0,300000;0,074523;0,055921;0,774545;0,395195;0,114278;0,037997;0,000000;0,000000;0,000000
7;-0,236161;0,737830;0,112901;4,330000;4666,000000;-4547549307,518956;0,346865;0,025000;0,300000;0,077627;0,035274;0,752577;0,329187;0,099110;0,049734;0,000000;0,000000;0,000000
8;-0,235667;0,723880;0,121133;4,330000;4666,000000;-4666926629,589818;0,279177;0,025000;0,300000;0,078512;0,042621;0,696864;0,361039;0,107679;0,050877;0,000000;0,000000;0,000000
9;-0,235669;0,744440;0,106126;4,330000;4666,000000;-4387368880,997038;0,325696;0,025000;0,300000;0,076421;0,029705;0,742958;0,288889;0,098051;0,043165;0,000000;0,000000;0,000000
10;-0,235898;0,713350;0,132977;4,330000;4666,000000;-4801181717,996433;0,268789;0,025000;0,300000;0,078440;0,054537;0,711268;0,406071;0,118384;0,041812;0,000000;0,000000;0,000000
11;-0,233754;0,724250;0,110467;4,330000;4666,000000;-4670097085,734606;0,307551;0,025000;0,300000;0,070609;0,039858;0,688581;0,328042;0,098556;0,026690;0,000000;0,000000;0,000000
12;-0,236755;0,684950;0,163302;4,330000;4666,000000;-5150198486,425202;0,193720;0,025000;0,300000;0,085109;0,078193;0,750877;0,484467;0,151003;0,039519;0,000000;0,000000;0,000000
13;-0,236827;0,750610;0,104872;4,330000;4666,000000;-4343344912,565568;0,350143;0,025000;0,300000;0,079693;0,025179;0,692042;0,304217;0,096178;0,032967;0,000000;0,000000;0,000000
14;-0,232651;0,656010;0,165337;4,330000;4666,000000;-5348380599,610859;0,155363;0,025000;0,300000;0,070058;0,095279;0,754448;0,465100;0,158509;0,052189;0,000000;0,000000;0,000000
15;-0,232942;0,722660;0,110506;4,330000;4666,000000;-4676265821,761496;0,300904;0,025000;0,300000;0,066446;0,044060;0,664311;0,355365;0,091326;0,020761;0,000000;0,000000;0,000000
16;-0,236166;0,687600;0,154738;4,330000;4666,000000;-5097489255,127924;0,207307;0,025000;0,300000;0,084058;0,070680;0,723404;0,453043;0,146271;0,041166;0,000000;0,000000;0,000000
17;-0,234322;0,701940;0,133485;4,330000;4666,000000;-4941830659,032055;0,242419;0,025000;0,300000;0,074729;0,058756;0,749104;0,421468;0,109693;0,037866;0,000455;0,000000;0,000000
18;-0,234034;0,717000;0,119290;4,330000;4666,000000;-4774442929,345056;0,265357;0,025000;0,300000;0,072906;0,046384;0,716783;0,373009;0,100420;0,020979;0,000000;0,000000;0,000000
19;-0,235381;0,720590;0,124231;4,330000;4666,000000;-4790309850,164346;0,309919;0,025000;0,300000;0,076668;0,047563;0,743056;0,391880;0,106298;0,033159;0,000000;0,000000;0,000000
