Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,104702;0,091740;0,143895;5,004815;6996,992083;-450298893,653474;0,003679;0,160294;2,370988;0,062563;0,081332;0,887681;0,382708;0,119767;0,018425;0,010919;0,011264;1500,000000
2;0,122467;0,081660;0,127093;5,018251;7091,600602;-1137059330,145103;0,004841;0,186873;2,662559;0,055275;0,071818;0,889273;0,336317;0,099216;0,033445;0,004550;0,005000;1500,000000
3;0,110849;0,088100;0,138053;5,005738;7027,097543;-471843357,967722;0,004338;0,169392;2,412053;0,058271;0,079782;0,830325;0,385987;0,106655;0,047059;0,008193;0,011250;1500,000000
4;0,086153;0,102310;0,170535;4,983382;6904,993656;377472112,290713;0,002438;0,132285;2,050979;0,063068;0,107467;0,854093;0,515287;0,135468;0,030201;0,007279;0,002503;1500,000000
5;0,060797;0,119020;0,203234;4,962409;6784,001266;1174807260,112353;0,002390;0,094209;1,740769;0,068519;0,134715;0,890845;0,624123;0,163669;0,046745;0,005462;0,015000;1500,000000
6;0,115058;0,086120;0,132062;5,016969;7049,124439;-1015663881,470639;0,003980;0,175863;2,592476;0,061239;0,070823;0,876364;0,335455;0,111608;0,023411;0,007731;0,013784;1500,000000
7;0,108255;0,089230;0,138216;5,006745;7019,329560;-552703396,782895;0,002101;0,165549;2,420013;0,062349;0,075868;0,869718;0,363057;0,114273;0,028428;0,009103;0,007500;1500,000000
8;0,097657;0,095360;0,155869;4,999275;6964,288752;-252149557,450451;0,001626;0,149669;2,277269;0,063678;0,092191;0,880282;0,435751;0,129249;0,031773;0,004548;0,006250;1500,000000
9;0,035380;0,137100;0,234370;4,947063;6675,900320;1803492160,458719;0,001885;0,056708;1,506599;0,078326;0,156044;0,878136;0,772111;0,183944;0,043624;0,010000;0,007519;1500,000000
10;0,106909;0,089680;0,144499;5,003336;7012,082833;-399912517,977228;0,002299;0,163525;2,368794;0,059595;0,084905;0,825784;0,393746;0,118674;0,043551;0,008182;0,006250;1500,000000
11;0,094995;0,096760;0,162113;4,990346;6948,619452;73402712,913133;0,001326;0,145542;2,174328;0,059482;0,102631;0,860714;0,478399;0,129393;0,025000;0,008186;0,003755;1500,000000
12;0,104677;0,091770;0,147984;5,005914;6996,804707;-539916855,375076;0,002253;0,160213;2,392457;0,061593;0,086391;0,851064;0,423126;0,116685;0,026667;0,008636;0,007509;1500,000000
13;0,104505;0,091820;0,150368;4,999489;6994,810322;-223364878,421064;0,005264;0,160094;2,309922;0,057624;0,092744;0,848375;0,418842;0,125224;0,023569;0,006831;0,010013;1500,000000
14;0,087186;0,101640;0,170680;4,989180;6911,424818;138187188,440943;0,001859;0,133942;2,107239;0,065189;0,105491;0,873684;0,498092;0,139119;0,033389;0,007273;0,005013;1500,000000
15;0,124680;0,080630;0,125668;5,021113;7105,270084;-1201445467,519144;0,005904;0,190494;2,704119;0,054866;0,070802;0,808511;0,333122;0,102846;0,030000;0,005920;0,003759;1500,000000
