Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,252769;0,778380;0,204196;4,330000;4671,166024;-864178828,442928;0,371035;0,025000;0,300000;0,128886;0,075309;0,925532;0,745595;0,196573;0,044723;0,000000;0,000000;10,332049
2;-0,248377;0,782660;0,174197;4,330000;4666,852384;-844839658,428706;0,384941;0,025000;0,300000;0,110908;0,063289;0,910394;0,721046;0,145741;0,029304;0,000000;0,000000;1,704768
3;-0,250103;0,792540;0,171272;4,330000;4666,000000;-845532099,428255;0,384857;0,025000;0,300000;0,120375;0,050898;0,925795;0,672176;0,158451;0,058076;0,000000;0,000000;0,000000
4;-0,248508;0,692890;0,309372;4,330000;4729,911613;-899971824,500406;0,282001;0,025000;0,300000;0,104443;0,204928;0,907473;0,821165;0,409871;0,036269;0,000000;0,000000;127,823227
5;-0,253439;0,819270;0,158116;4,330000;4666,000000;-831287728,139301;0,388983;0,025000;0,300000;0,134903;0,023213;0,897163;0,606884;0,174009;0,069903;0,000000;0,000000;0,000000
6;-0,255066;0,796360;0,193694;4,330000;4666,000000;-863826950,145795;0,356853;0,025000;0,300000;0,142813;0,050882;0,931507;0,730819;0,187923;0,083333;0,000000;0,000000;0,000000
7;-0,252775;0,786680;0,193977;4,330000;4666,000000;-850574902,425524;0,381147;0,025000;0,300000;0,128649;0,065328;0,893993;0,738922;0,180962;0,070270;0,000458;0,000000;0,000000
8;-0,252507;0,810500;0,165050;4,330000;4666,000000;-828260816,410126;0,375581;0,025000;0,300000;0,132172;0,032879;0,886926;0,668731;0,157459;0,068702;0,000000;0,000000;0,000000
9;-0,251053;0,801840;0,162149;4,330000;4666,000000;-848105319,612833;0,386506;0,025000;0,300000;0,125218;0,036931;0,911032;0,655689;0,150301;0,055556;0,000000;0,000000;0,000000
10;-0,251454;0,791900;0,183331;4,330000;4666,000000;-835085583,779441;0,389971;0,025000;0,300000;0,123372;0,059959;0,923913;0,734987;0,167371;0,059891;0,000000;0,000000;0,000000
11;-0,248521;0,774700;0,194327;4,330000;4672,469332;-833438815,084243;0,378978;0,025000;0,300000;0,108630;0,085697;0,905923;0,763466;0,174642;0,039076;0,000000;0,000000;12,938664
12;-0,251417;0,790360;0,181832;4,330000;4666,000000;-846303881,532262;0,376478;0,025000;0,300000;0,124614;0,057218;0,919298;0,700375;0,170979;0,035055;0,000000;0,000000;0,000000
13;-0,252013;0,770730;0,216360;4,330000;4676,318291;-854765169,570290;0,356036;0,025000;0,300000;0,123592;0,092768;0,933333;0,766878;0,208577;0,069767;0,000000;0,000000;20,636582
14;-0,249540;0,786600;0,183412;4,330000;4666,000000;-833078990,097547;0,407081;0,025000;0,300000;0,112520;0,070892;0,932384;0,737562;0,158405;0,041293;0,000000;0,000000;0,000000
15;-0,253501;0,798150;0,179893;4,330000;4666,000000;-856885398,509728;0,375485;0,025000;0,300000;0,134724;0,045169;0,926573;0,724092;0,161324;0,058932;0,000000;0,000000;0,000000
16;-0,252000;0,803340;0,168677;4,330000;4666,000000;-838086443,262195;0,380391;0,025000;0,300000;0,129764;0,038913;0,913194;0,700416;0,139726;0,048964;0,000000;0,000000;0,000000
17;-0,254737;0,800280;0,182562;4,330000;4666,000000;-861522042,992282;0,372445;0,025000;0,300000;0,142115;0,040447;0,890071;0,717808;0,171282;0,093236;0,000000;0,000000;0,000000
18;-0,250067;0,785180;0,183931;4,330000;4666,000000;-833981869,101707;0,401307;0,025000;0,300000;0,115284;0,068647;0,939068;0,722291;0,166923;0,048387;0,000000;0,000000;0,000000
19;-0,248873;0,756380;0,211809;4,330000;4684,759494;-849219927,504223;0,359242;0,025000;0,300000;0,111207;0,100602;0,911348;0,756345;0,205418;0,037168;0,000000;0,000000;37,518989
20;-0,249753;0,808550;0,152167;4,330000;4666,000000;-835817396,185432;0,391773;0,025000;0,300000;0,120398;0,031769;0,892473;0,627575;0,145484;0,037175;0,000000;0,000000;0,000000
21;-0,252954;0,816360;0,159079;4,330000;4666,000000;-837186613,094415;0,407065;0,025000;0,300000;0,131194;0,027885;0,933579;0,632689;0,162222;0,081712;0,000000;0,000000;0,000000
22;-0,249479;0,802950;0,155761;4,330000;4666,000000;-823824651,776893;0,386909;0,025000;0,300000;0,118736;0,037025;0,889286;0,644118;0,133506;0,059701;0,000000;0,000000;0,000000
23;-0,254188;0,799600;0,181619;4,330000;4666,000000;-857746579,633200;0,362863;0,025000;0,300000;0,139731;0,041888;0,926316;0,689032;0,167269;0,073529;0,000000;0,000000;0,000000
24;-0,254807;0,799770;0,189595;4,330000;4666,000000;-850613084,215448;0,379005;0,025000;0,300000;0,140600;0,048995;0,940351;0,717752;0,181869;0,060219;0,000000;0,000000;0,000000
25;-0,250741;0,787880;0,181234;4,330000;4666,000000;-848117750,552794;0,377042;0,025000;0,300000;0,121231;0,060003;0,913978;0,718259;0,154349;0,050000;0,000000;0,000000;0,000000
26;-0,251477;0,800740;0,169658;4,330000;4666,000000;-837829062,314387;0,376128;0,025000;0,300000;0,126767;0,042891;0,882353;0,726519;0,141874;0,063080;0,000000;0,000000;0,000000
27;-0,256394;0,785890;0,206635;4,330000;4666,376039;-886321178,660965;0,352558;0,025000;0,300000;0,148462;0,058173;0,897887;0,758102;0,202275;0,082418;0,000000;0,000000;0,752079
28;-0,252923;0,791830;0,183759;4,330000;4666,000000;-860310702,286541;0,377899;0,025000;0,300000;0,132715;0,051044;0,896797;0,726474;0,163276;0,066914;0,000000;0,000000;0,000000
29;-0,254185;0,794710;0,194357;4,330000;4666,000000;-854605160,679975;0,383624;0,025000;0,300000;0,134615;0,059741;0,930070;0,739130;0,181063;0,050909;0,000000;0,000000;0,000000
30;-0,252132;0,791860;0,187646;4,330000;4666,000000;-840799159,291044;0,381685;0,025000;0,300000;0,126186;0,061459;0,917857;0,745000;0,170591;0,049002;0,000000;0,000000;0,000000
