Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,032259;0,117720;0,206869;4,783626;6363,748634;-1409366149,339053;0,002747;0,040000;1,146674;0,064444;0,142424;0,888112;0,738739;0,138055;0,023411;0,004545;0,007500;800,000000
2;-0,061492;0,131900;0,228219;4,742098;6274,951603;-1138022740,514473;0,001982;0,040000;0,969302;0,077219;0,151001;0,880282;0,812661;0,157706;0,036789;0,007273;0,010000;800,000000
3;-0,075506;0,140000;0,241442;4,719814;6233,560476;-1043781951,309832;0,002431;0,040000;0,902151;0,080616;0,160826;0,914894;0,821012;0,184636;0,033333;0,006369;0,005000;800,000000
4;-0,051858;0,128640;0,222963;4,762880;6300,659188;-1255615999,004389;0,002939;0,040000;1,037807;0,074793;0,148171;0,884354;0,788586;0,149260;0,046823;0,011829;0,012500;800,000000
5;0,008185;0,101440;0,184057;4,849190;6489,727172;-1915580415,164200;0,002367;0,040003;1,518370;0,046216;0,137841;0,845070;0,711908;0,099866;0,016722;0,004545;0,007500;800,000000
6;-0,107287;0,162100;0,287774;4,685859;6148,242758;-791967203,712575;0,003526;0,040000;0,769564;0,088749;0,199025;0,855072;0,828534;0,290656;0,033670;0,006369;0,005000;800,000000
7;-0,060823;0,131080;0,228514;4,739043;6280,681999;-1118358556,199965;0,002186;0,040000;0,957151;0,074419;0,154095;0,908451;0,812419;0,160018;0,023411;0,003636;0,012500;800,000000
8;0,012782;0,096240;0,169420;4,857501;6516,479812;-2071583968,871119;0,003576;0,040004;1,576272;0,053384;0,116035;0,897260;0,621347;0,092335;0,026667;0,004545;0,005000;800,000000
9;-0,052265;0,128960;0,223370;4,754002;6297,784914;-1211108267,377368;0,002862;0,040000;1,025395;0,070676;0,152693;0,888060;0,794041;0,158389;0,037037;0,005455;0,000000;800,000000
10;0,017505;0,094300;0,165792;4,855716;6535,377299;-2003730082,093306;0,002675;0,040038;1,584630;0,047052;0,118740;0,894366;0,602828;0,095792;0,020134;0,002727;0,005000;800,000000
11;-0,220983;0,446640;0,443043;4,430390;5277,094847;-147318553,183369;0,001357;0,040000;0,446110;0,111676;0,331367;0,916667;0,879534;0,603722;0,107023;0,004550;0,000000;800,000000
12;-0,017700;0,113280;0,206167;4,815413;6400,618429;-1614799905,331260;0,000503;0,040000;1,289013;0,057840;0,148327;0,857143;0,764405;0,126283;0,033333;0,010000;0,005000;800,000000
13;-0,152352;0,201080;0,377918;4,665608;5998,510604;-684164507,876820;0,002179;0,040000;0,685660;0,098031;0,279886;0,877698;0,827720;0,477221;0,090301;0,010909;0,010000;800,000000
14;-0,065121;0,132880;0,228994;4,727384;6266,993637;-1070509912,361319;0,002259;0,040000;0,932925;0,075319;0,153675;0,897059;0,799740;0,165996;0,043478;0,006364;0,007500;800,000000
15;-0,110892;0,165940;0,298617;4,678772;6137,393286;-771416334,784111;0,004420;0,040000;0,754286;0,085028;0,213588;0,896552;0,851459;0,304505;0,043478;0,005464;0,002500;800,000000
16;-0,036749;0,122280;0,215833;4,775433;6332,645242;-1369683737,675259;0,002271;0,040000;1,138823;0,060134;0,155700;0,885714;0,751609;0,152291;0,033670;0,004550;0,010000;800,000000
17;-0,014584;0,112120;0,195423;4,814781;6408,394914;-1584413606,783062;0,005420;0,040000;1,295199;0,057108;0,138315;0,857143;0,755814;0,106774;0,026846;0,010009;0,007538;800,000000
18;-0,040686;0,122680;0,214993;4,773777;6332,813967;-1385913208,485974;0,002226;0,040000;1,119509;0,068095;0,146898;0,872340;0,774194;0,143560;0,040134;0,006375;0,002500;800,000000
19;-0,182835;0,268220;0,431420;4,626908;5827,651823;-524854693,366115;0,003070;0,040000;0,608438;0,093610;0,337810;0,929577;0,852140;0,586504;0,101351;0,004554;0,002506;800,000000
20;-0,004761;0,107200;0,192579;4,836992;6439,133922;-1840649598,443396;0,002528;0,040000;1,432364;0,055656;0,136923;0,866197;0,748718;0,102724;0,020000;0,007286;0,010000;800,000000
21;-0,089166;0,148800;0,269690;4,696522;6204,269157;-884354183,217652;0,002403;0,040000;0,818711;0,078153;0,191537;0,880282;0,828165;0,244944;0,046823;0,002727;0,010025;800,000000
22;-0,038837;0,122420;0,212164;4,780950;6339,397945;-1384431893,605966;0,003361;0,040000;1,126174;0,069711;0,142453;0,872340;0,781654;0,135896;0,030100;0,006369;0,005013;800,000000
23;-0,219521;0,436320;0,459096;4,454030;5310,347381;-181100478,383809;0,001573;0,040000;0,456205;0,113553;0,345543;0,936170;0,874346;0,646314;0,067114;0,004545;0,005000;800,000000
24;0,001240;0,104160;0,186882;4,841446;6460,330279;-1882626063,561892;0,004870;0,040000;1,468436;0,051665;0,135217;0,901408;0,715385;0,098346;0,033557;0,006375;0,007500;800,000000
25;-0,035412;0,121440;0,214473;4,784061;6345,447608;-1383547724,935112;0,003640;0,040000;1,145936;0,063877;0,150596;0,856164;0,751928;0,150427;0,016779;0,005464;0,012500;800,000000
26;-0,091697;0,152400;0,278891;4,701322;6191,937676;-872002162,436227;0,001541;0,040000;0,819153;0,077919;0,200971;0,870748;0,823834;0,265948;0,043771;0,006369;0,005000;800,000000
27;-0,053899;0,128240;0,229074;4,744595;6297,277896;-1192783255,497035;0,003667;0,040000;1,001767;0,066518;0,162556;0,871429;0,792308;0,169210;0,026667;0,004550;0,007519;800,000000
28;-0,147639;0,197240;0,376676;4,671536;6022,428491;-649957796,680654;0,001924;0,040000;0,681842;0,098944;0,277733;0,917241;0,851120;0,468258;0,077441;0,006364;0,012500;800,000000
29;-0,027388;0,116220;0,208560;4,792662;6367,149865;-1527846107,842295;0,002178;0,040000;1,213719;0,059560;0,149001;0,863309;0,764706;0,132050;0,050000;0,004554;0,000000;800,000000
30;-0,065920;0,133040;0,226335;4,731615;6270,861432;-1094441998,432981;0,002503;0,040000;0,935090;0,079895;0,146440;0,866197;0,755470;0,175123;0,020134;0,010909;0,002500;800,000000
