Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;0,533940;0,088950;0,133609;5,774064;8968,670583;-12885375458,848846;0,003749;0,250000;24,502097;0,069275;0,064334;0,834507;0,310673;0,122760;0,036851;0,006821;0,017522;4500,000000
2;0,548553;0,083210;0,125656;5,784800;9031,573642;-14798194577,856514;0,005310;0,250000;26,187363;0,059447;0,066209;0,770318;0,298346;0,115919;0,023411;0,007289;0,013750;4500,000000
3;0,552106;0,081740;0,125491;5,794387;9050,441756;-16878000059,645695;0,003025;0,250000;27,437464;0,060731;0,064760;0,766784;0,290587;0,115961;0,040000;0,005912;0,017566;4500,000000
4;0,576424;0,071300;0,103094;5,820187;9180,562650;-22236884948,011840;0,005424;0,250000;31,393732;0,055931;0,047163;0,773050;0,229841;0,090116;0,036728;0,006375;0,005006;4500,000000
5;0,531610;0,089200;0,140278;5,760345;8953,932946;-10614250763,016800;0,004140;0,250000;23,179960;0,061819;0,078459;0,800000;0,332486;0,135855;0,031773;0,005914;0,006258;4500,000000
6;0,540800;0,086290;0,131364;5,780560;8993,820132;-14507526002,999695;0,003581;0,250000;25,696624;0,064321;0,067043;0,831541;0,312619;0,122088;0,023372;0,004545;0,011250;4500,000000
7;0,556660;0,079490;0,122646;5,799959;9077,528203;-17544541039,717640;0,003208;0,250000;27,959920;0,059813;0,062834;0,785211;0,296086;0,107455;0,026801;0,008182;0,015019;4500,000000
8;0,544283;0,085080;0,128029;5,780056;9007,185036;-14041270761,127098;0,005329;0,250000;25,642597;0,060884;0,067145;0,783972;0,307594;0,117067;0,030252;0,008197;0,003750;4500,000000
9;0,551541;0,081540;0,123325;5,792802;9049,687889;-16687677558,534107;0,002648;0,250000;27,251947;0,061864;0,061461;0,829268;0,298858;0,106440;0,035413;0,005912;0,006266;4500,000000
10;0,547023;0,083510;0,127949;5,784869;9026,338596;-15023677330,651588;0,003864;0,250000;26,209333;0,060698;0,067251;0,810036;0,328880;0,111409;0,016694;0,005460;0,007500;4500,000000
11;0,542082;0,086070;0,131114;5,779980;9000,744438;-13923844055,034765;0,003625;0,250000;25,438524;0,062532;0,068583;0,775087;0,326142;0,117291;0,020134;0,008648;0,010025;4500,000000
12;0,540303;0,085360;0,129549;5,774911;8995,277418;-13230012963,282621;0,003785;0,250000;24,898249;0,063514;0,066035;0,829268;0,297521;0,120887;0,033613;0,006367;0,006266;4500,000000
13;0,551888;0,081670;0,124257;5,793906;9049,976045;-16646329042,005514;0,003350;0,250000;27,294059;0,060768;0,063489;0,807692;0,301274;0,109323;0,030151;0,005914;0,011264;4500,000000
14;0,526144;0,091920;0,146024;5,758830;8925,463389;-10653984752,998617;0,004105;0,250000;22,994098;0,064698;0,081326;0,855172;0,355146;0,135335;0,036789;0,005457;0,005006;4500,000000
15;0,542090;0,085210;0,131929;5,777764;9003,703636;-13772786265,190520;0,003478;0,250000;25,326118;0,061480;0,070450;0,804878;0,330584;0,116935;0,026756;0,007283;0,003750;4500,000000
