Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP
1;-0,078820;0,077000;0,128925;4,634773;6176,535210;-8522681596,753161;0,002423;0,040000;0,971426;0,048611;0,080314;0,665505;0,433141;0,090038;0,005000;0,001818;0,002503;0,000000
2;-0,050315;0,066060;0,112285;4,679389;6304,020033;-8855741877,702044;0,002294;0,040000;1,112167;0,037428;0,074857;0,581882;0,398338;0,071285;0,006678;0,000455;0,001250;0,000000
3;-0,102976;0,088150;0,149632;4,594498;6081,321161;-8182014203,235186;0,003574;0,040000;0,857416;0,054274;0,095358;0,653846;0,483002;0,117844;0,018395;0,001818;0,002503;0,000000
4;0,034943;0,037740;0,061345;4,819137;6894,051409;-10633081742,418140;0,002791;0,058415;1,771581;0,022791;0,038554;0,505190;0,191651;0,032962;0,015000;0,001364;0,002500;0,000000
5;-0,119858;0,093740;0,156754;4,559961;6031,288577;-7808801440,884364;0,004190;0,040000;0,758217;0,060786;0,095968;0,673684;0,500000;0,126647;0,011725;0,003182;0,001252;0,000000
6;-0,054872;0,068350;0,115551;4,675618;6284,060151;-8822959012,183376;0,003616;0,040000;1,094154;0,039960;0,075591;0,632509;0,387405;0,078090;0,008347;0,001364;0,002500;0,000000
7;-0,137090;0,104020;0,175093;4,538947;5984,341246;-7523984229,900884;0,004210;0,040000;0,689293;0,066909;0,108184;0,673611;0,537815;0,154568;0,023451;0,000909;0,001250;0,000000
8;-0,065524;0,072050;0,119074;4,659565;6233,227664;-8739436525,895110;0,002742;0,040000;1,047474;0,046100;0,072974;0,597222;0,414167;0,077867;0,013356;0,001364;0,002500;0,000000
9;-0,117490;0,093210;0,151231;4,565350;6040,404453;-7851040282,496545;0,004499;0,040000;0,770694;0,061542;0,089689;0,684211;0,491961;0,117174;0,015000;0,002273;0,001250;0,000000
10;-0,116608;0,093340;0,154886;4,565958;6042,632382;-7877121528,464414;0,003707;0,040000;0,776078;0,059191;0,095694;0,667832;0,503846;0,122289;0,013378;0,000455;0,003750;0,000000
11;-0,105224;0,088710;0,146324;4,593484;6075,372534;-8135738938,951549;0,002690;0,040000;0,846579;0,058711;0,087613;0,621160;0,484576;0,109351;0,026667;0,003182;0,005000;0,000000
12;-0,044423;0,063850;0,109043;4,690396;6332,526630;-8992203964,235370;0,003359;0,040000;1,151666;0,035811;0,073232;0,591696;0,362770;0,074264;0,008361;0,000455;0,003759;0,000000
13;-0,064270;0,072400;0,122470;4,658511;6236,665976;-8680198643,737766;0,002967;0,040000;1,044338;0,041192;0,081277;0,679577;0,401655;0,085140;0,010000;0,001364;0,002500;0,000000
14;-0,128069;0,099110;0,164580;4,548060;6007,631195;-7659347306,700510;0,004018;0,040000;0,721915;0,062500;0,102080;0,700348;0,537323;0,129899;0,018395;0,001364;0,000000;0,000000
15;-0,038776;0,062380;0,105205;4,701615;6358,945839;-9033386300,935125;0,004566;0,040000;1,183032;0,034431;0,070774;0,595070;0,365776;0,064048;0,011725;0,002273;0,002503;0,000000
16;-0,141935;0,106770;0,180057;4,538018;5963,203003;-7557339206,742568;0,004507;0,040000;0,685085;0,071054;0,109003;0,703833;0,527706;0,167077;0,018364;0,002274;0,000000;0,000000
17;-0,012352;0,054270;0,097127;4,751647;6519,391998;-9605993893,693335;0,001993;0,040000;1,384439;0,027521;0,069606;0,561404;0,340708;0,057251;0,011667;0,001364;0,001250;0,000000
18;-0,045442;0,064580;0,105772;4,688972;6327,378683;-9017771052,259737;0,003267;0,040000;1,153261;0,037574;0,068198;0,646853;0,342545;0,071986;0,010033;0,000455;0,002500;0,000000
19;-0,078846;0,076320;0,126071;4,625916;6182,808196;-8352964628,157011;0,003763;0,040000;0,942145;0,045954;0,080117;0,621053;0,418754;0,091477;0,016667;0,000910;0,000000;0,000000
20;-0,116923;0,094000;0,155491;4,572084;6043,498039;-7910931395,518683;0,003090;0,040000;0,784591;0,062519;0,092972;0,673759;0,525846;0,115213;0,015025;0,000000;0,005000;0,000000
21;-0,128514;0,098520;0,165138;4,547235;6005,892441;-7661899410,892006;0,006765;0,040000;0,721674;0,062305;0,102833;0,660959;0,516026;0,139790;0,021776;0,000909;0,000000;0,000000
22;-0,077815;0,076720;0,128110;4,634161;6185,756180;-8435735296,264718;0,003415;0,040000;0,961511;0,047135;0,080975;0,583916;0,427017;0,094356;0,013356;0,002274;0,002500;0,000000
23;-0,101751;0,086860;0,148681;4,592442;6094,590694;-8105468029,199819;0,002042;0,040000;0,845520;0,052849;0,095832;0,650177;0,476099;0,116217;0,028333;0,002727;0,002503;0,000000
24;-0,091221;0,083190;0,138424;4,614322;6130,206594;-8264741978,356381;0,003317;0,040000;0,903391;0,051481;0,086943;0,669014;0,449359;0,105439;0,010050;0,001364;0,001252;0,000000
25;-0,138018;0,105380;0,176506;4,548797;5971,960445;-7717405171,040453;0,001855;0,040000;0,719331;0,072335;0,104171;0,723776;0,531792;0,156557;0,020033;0,000909;0,001250;0,000000
26;-0,075176;0,076340;0,128487;4,640720;6191,894933;-8523432843,781894;0,002948;0,040000;0,984758;0,046118;0,082368;0,644828;0,448077;0,085899;0,006667;0,000455;0,000000;0,000000
27;0,005569;0,048990;0,085117;4,782553;6646,923108;-10023553448,140554;0,003173;0,040015;1,537393;0,025324;0,059793;0,564460;0,286531;0,050557;0,005000;0,001818;0,000000;0,000000
28;-0,119234;0,093710;0,156143;4,558282;6043,814451;-7756567993,695251;0,003911;0,040000;0,748554;0,059108;0,097034;0,665505;0,482005;0,132038;0,020067;0,001820;0,000000;0,000000
29;-0,132704;0,101080;0,171169;4,545737;5994,907035;-7643211683,521570;0,003819;0,040000;0,711138;0,066028;0,105141;0,656250;0,530968;0,151718;0,008333;0,000455;0,000000;0,000000
30;-0,102815;0,087460;0,143649;4,591856;6087,818868;-8107886586,762459;0,003473;0,040000;0,843848;0,055645;0,088004;0,639175;0,484142;0,107023;0,015025;0,000909;0,000000;0,000000
